node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank,papers,papers_rank
"A. Sullivan, Michael A.",0,3519,,,,,,,1,315
ABBOTT KELLER,2,2000,0,2492,0.0039039398,922,1,955,,
ADAM APTER,1,2845,0,2492,0.0015597554,1522,1,955,,
ADAM DUNSBY,4,1254,5.74422871705879E-05,1272,0.0033954437,988,2,559,,
AJ SENCHACK,2,2000,0,2492,0.0011574164,1764,1,955,,
ALAN FRAGEN,3,1513,6.04626626225553E-07,1820,0.0009844825,1898,1,955,,
ALAN KIMCHE,2,2000,,,,,1,955,,
ALBERT HERMALIN,2,2000,6.5076661098417E-07,1810,0.0001276269,2592,1,955,,
ALEJANDRO BERUETE,2,2000,1.42089786962651E-08,2394,0.0028704317,1082,1,955,,
ALEX HUMER,1,2845,0,2492,0.0001259415,2602,1,955,,
ALEXANDRE AGANINE,1,2845,0,2492,0.0049817778,798,1,955,,
ALFONSO GUERRA,1,2845,0,2492,7.4005509846867E-06,3074,1,955,,
ALFRED BUHLER,3,1513,6.92687711442924E-08,2195,4.05691900948283E-05,2877,1,955,,
ALI MUTLU,3,1513,0.000000785,1785,3.95971665476656E-06,3106,1,955,,
ALLAN EVERHART,1,2845,0,2492,0.0012419096,1703,1,955,,
ALLEN HUFFMAN,1,2845,0,2492,0.0031544632,1012,1,955,,
AMY CHAN,2,2000,0,2492,0.0013283362,1657,1,955,,
ANAND GUPTA,4,1254,1.91205733985381E-06,1660,0.0012850311,1673,1,955,,
ANASTASIOS ANASTASOPOULOS,2,2000,0.0001214328,1172,2.98546511911042E-05,2932,1,955,,
ANDRAS LOEFFLER,2,2000,8.66469093046754E-08,2146,0.0010777258,1825,1,955,,
ANNE FROBERG,3,1513,0.0001211158,1184,4.66693973487996E-05,2857,1,955,,
ARNOLD JUSTER,2,2000,2.13486105719218E-07,1993,0.0011563662,1770,1,955,,
ART SNOW,1,2845,0,2492,0.0001689794,2546,1,955,,
ARTHUR MEZHLUMIAN,2,2000,0,2492,0.0015017359,1549,1,955,,
"Aadland, David M.",2,2000,7.38866892205786E-09,2478,0.0011755339,1749,1,955,,
"Aarstol, Michael P.",1,2845,0,2492,1.05043952369325E-06,3196,1,955,,
"Abarbanell, Jeffery S.",4,1254,0.000003767,1582,0.0018403158,1391,1,955,,
"Abel, Andrew B.",3,1513,3.05268689674496E-07,1955,0.0017197221,1423,1,955,,
"Abhyankar, Abhay H.",1,2845,,,,,,,1,315
"Aboody, David",12,561,0.0012046876,700,0.0084763243,592,2,559,1,315
"Abrevaya, Jason",6,986,2.8958152193348E-05,1340,0.0106952587,521,4,294,,
"Abu-Mostafa, Yaser S.",2,2000,0,2492,0.0023057189,1238,1,955,,
"Acharya, Viral V.",8,807,0.0002344444,1075,0.0072257191,640,2,559,1,315
"Ackermann, Carl",15,447,0.0017058201,568,0.0130075698,440,1,955,1,315
"Ackert, Lucy F.",4,1254,0.0002200428,1086,0.0002384332,2436,,,1,315
"Adam, Tim R.",4,1254,3.68176338345989E-05,1316,0.0029499954,1058,2,559,,
"Adams, Mike B.",7,885,,,,,,,1,315
"Adams, Robert M.",1,2845,0,2492,7.24546139662454E-05,2759,1,955,,
"Adler, Barry E.",1,2845,0,2492,0.0005902495,2085,1,955,,
"Admati, Anat R.",17,364,0.0009559894,748,0.0171000189,347,3,401,1,315
"Advani, Asheesh",4,1254,1.91205733985381E-06,1660,0.0012850311,1673,1,955,,
"Affleck-Graves, John F.",12,561,0.0009278663,758,0.0099445042,538,3,401,1,315
"Aggarwal, Rajesh K.",40,69,0.0090260119,97,0.0092322642,559,2,559,3,26
"Aggarwal, Reena",26,185,0.0097225162,84,0.0311692614,180,,,4,10
"Aghion, Philippe",6,986,9.02625524181346E-05,1227,0.0040159783,914,3,401,,
"Agrawal, Anup",9,731,0.0002153361,1089,0.0055580385,744,4,294,,
"Agrawal, Deepak",3,1513,0,2492,0.0011195736,1800,,,1,315
"Agénor, Pierre Richard",11,617,0.0024098124,452,2.62554273846888E-05,2951,,,1,315
"Ahmed, Anwer S.",2,2000,0,2492,0.0016581694,1463,1,955,,
"Ahmed, Parvez",2,2000,0.000607718,875,0.000016884,3016,,,1,315
"Ahn, Dong Hyun",22,238,0.0038184294,289,0.0178326124,331,1,955,2,86
"Ahn, HeeJoon",8,807,7.58458315970251E-05,1245,0.0061817507,698,,,1,315
"Ailawadi, Kusum L.",3,1513,3.328910971799E-07,1939,0.0027506705,1108,1,955,,
"Aitken, Michael J.",4,1254,9.0203333090123E-06,1503,2.07795659826433E-05,2987,1,955,1,315
"Akerlof, George A.",1,2845,0,2492,3.90694917874983E-05,2897,1,955,,
"Akhavein, Jalal D.",3,1513,2.58186775644598E-06,1642,0.0005536755,2121,1,955,,
"Akhigbe, Aigbe O.",5,1104,,,,,,,4,10
"Al-Jazzaf, Mahdy I.",4,1254,1.91205733985381E-06,1660,0.0012850311,1673,1,955,,
"Al-Suhaibani, Mohammad I.",5,1104,5.54150169154339E-07,1848,5.97093023822084E-05,2799,,,1,315
"Alam, Ila M Semenick",4,1254,0.0012152513,678,0.0013451145,1650,,,1,315
"Albuquerque, Rui",3,1513,3.96919293065669E-07,1904,0.001669637,1454,1,955,,
"Alexander, Gordon J.",7,885,0.0004235093,951,0.0043527926,880,1,955,1,315
"Allayannis, George",22,238,0.0032430952,346,0.012168056,464,1,955,2,86
"Allen, Franklin",62,14,0.0165910932,29,0.0777165941,28,21,10,4,10
"Allen, Jeffrey W.",7,885,4.12766909817446E-06,1563,0.003362766,992,4,294,,
"Allen, Linda",5,1104,0.0025310682,420,8.55202077273671E-05,2709,2,559,,
"Allen, William A.",3,1513,2.6950169893206E-05,1357,0.0010648833,1838,2,559,,
