node,positions
(GRACE) QING HAO,"(192.29, 1938.0)"
A ALEXANDRE TRINDADE,"(3714.9, 1780.1)"
A BARBOSA,"(1589.4, 3898.0)"
A BURAK GUNER,"(1303.2, 1649.2)"
A GRANE,"(3198.0, 3338.0)"
A MARIA TOYODA,"(4672.5, 158.0)"
AARON D SMALLWOOD,"(5466.6, 5338.0)"
AARON TORNELL,"(4553.3, 4734.3)"
ABE DE JONG,"(1806.2, 2951.2)"
ABHAY ABHYANKAR,"(4980.7, 3219.9)"
ABON MOZUMDAR,"(901.95, 2466.2)"
ACHIM PERST,"(329.54, 2968.6)"
ADAM B ASHCRAFT,"(174.89, 3558.0)"
ADAM B JAFFE,"(2031.5, 880.41)"
ADAM E CLEMENTS,"(3954.9, 5259.9)"
ADAM HALE SHAPIRO,"(5084.0, 5518.0)"
ADAM HONIG,"(88.894, 218.0)"
ADAM V REED,"(3531.9, 1531.4)"
ADLAI J FISHER,"(2347.2, 2831.6)"
ADOLFO DE MOTTA,"(5054.9, 1039.9)"
ADRIAN R BELL,"(4501.7, 3260.5)"
ADRIANO A RAMPINI,"(749.35, 3518.0)"
ADRIENNE S RUMBLE,"(2161.6, 2720.5)"
AGUSMAN AGUSMAN,"(4898.8, 3338.0)"
AHMED SHAISTA,"(5003.2, 759.93)"
AIGBE AKHIGBE,"(4763.1, 4836.0)"
AJAI K SINGH,"(3849.4, 2171.3)"
AJAY KHORANA,"(2952.7, 2547.9)"
AJAY PATEL,"(2950.3, 2602.2)"
AJAY SUBRAMANIAN,"(3057.6, 2551.8)"
AKIKO WATANABE,"(1542.3, 618.0)"
ALAN D MORRISON,"(2872.4, 3417.2)"
ALAN GART,"(5292.6, 4739.9)"
ALAN J MARCUS,"(3425.8, 3660.5)"
ALAN KACKMEISTER,"(5640.7, 78.0)"
ALAN KRAUS,"(4547.9, 3700.5)"
ALAN L TUCKER,"(1660.6, 3832.6)"
ALAN VS DOUGLAS,"(4372.9, 5558.0)"
ALBERT J MENKVELD,"(2774.9, 4181.7)"
ALBERTO FRANCO POZZOLO,"(880.25, 1478.0)"
ALBERTO ZAFFARONI,"(1574.7, 698.0)"
ALBERTO ZAZZARO,"(1001.2, 1298.0)"
ALEJANDRO MICCO,"(1462.3, 4376.3)"
ALESSANDRA GUARIGLIA,"(4210.5, 4766.2)"
ALESSANDRO PRATI,"(5110.8, 4080.4)"
ALESSANDRO RIBONI,"(1921.8, 658.0)"
ALESSANDRO SECCHI,"(3559.0, 398.0)"
ALESSANDRO SEMBENELLI,"(2420.7, 3480.4)"
ALEX EDMANS,"(506.3, 4660.4)"
ALEX FRINO,"(383.04, 3099.9)"
ALEX GREYSERMAN,"(4766.3, 740.41)"
ALEX SZIMAYER,"(696.7, 1260.4)"
ALEXANDER DAVID,"(214.89, 3718.0)"
ALEXANDER DYCK,"(2460.3, 3242.2)"
ALEXANDER I SHAPIRO,"(3707.9, 1864.9)"
ALEXANDER KEMPF,"(2276.8, 5348.6)"
ALEXANDER KREININ,"(405.15, 5398.0)"
ALEXANDER KUROV,"(2614.3, 4725.8)"
ALEXANDER LIPPONER,"(718.95, 1698.0)"
ALEXANDER MICHAELIDES,"(2286.7, 788.64)"
ALEXANDER P LJUNGQVIST,"(2798.8, 3577.5)"
ALEXANDER PHILIPOV,"(2624.1, 2814.0)"
ALEXANDER STOMPER,"(885.63, 4358.0)"
ALEXANDER STREMME,"(5052.9, 3220.4)"
ALEXANDER TRIANTIS,"(426.59, 1848.6)"
