node,x,y
A BASAK,-53.335,210.33
"A. Sullivan, Michael A.",149.59,222.94
ADAM GILESKI,300.92,-60.655
ADAM NUNES,191.28,51.832
AGOSTINO FUSCONI,-81.097,-388.62
AKIHIRO KANAYA,-122.21,-295.29
AKIRA ARIYOSHI,-104.19,-303.03
AKIRA IEDA,-174.44,-208.34
ALAIN BUTERY,749.73,585.76
ALEX URBINA,-5.5254,-256.65
ALEXANDER CAPPELLO,135.9,190.21
ALEXANDRE AGANINE,155.53,-212.8
ALFRED PLOTKIN,149.35,-192.44
ALLAN BROWN,-70.084,-374.55
AM TARANTOLA,-278.03,-285.63
AMAR MOITON,818.75,-98.567
AMIT ARORA,-87.614,183.95
AMY CHAN,-14.496,185.57
ANDRE STERN,14.034,225.2
ANDREAS GINTSCHEL,211.11,77.339
ANDREI DRAGANESCU,742.25,39.668
ANDREI EVTIMOV,278.5,44.961
ANDREI KHINCHUK,-126.48,77.928
ANDREW HAUSER,-314.5,-81.774
ANDY LUTZ,159.63,3.2198
ANNA MEYENDORFF,106.3,-216.31
ANNA SANZ DE GALDEANO,-284.59,-177.96
ANNA TRAVIS,-107.46,223.51
ANNE VALETTE,-29.384,-380.2
ANTHONY MARCIANO,181.11,-178.45
ANTHONY NEOH,130.33,-156.08
ANU ARRO,17.451,-257.83
AR RADHAKRISHNAN,-171.31,141.33
ARCHISMAN CHAKRABORTY,231.88,148.07
ARI WEINBERGER,11.865,146.51
ART DENZAU,271.57,-42.122
ART GOLDSMITH,-185.3,-208.0
"ASQUITH, PAUL",56.199,-2.6048
ATINDRA BARUA,-122.41,-161.12
AV SEKHAR,-14.238,-255.33
"Aadland, David M.",-346.0,-48.97
"Abadie, Alberto",235.58,-114.4
"Abadir, Karim Maher",-157.43,227.28
"Abarbanell, Jeffery S.",171.45,54.475
"Abate, James A.",389.36,611.93
"Abel, Andrew B.",-118.42,93.463
"Aboody, David",-65.096,152.54
"Abrams, Burton A.",-101.93,-355.69
"Abreu, Dilip",-131.07,82.362
"Acemoglu, Daron",43.89,-159.66
"Acerbi, Carlo",-136.01,368.77
"Acharya, Viral V.",-31.102,-27.357
"Acito, Franklin",52.07,198.15
"Ackermann, Carl",382.14,38.598
"Ackert, Lucy F.",264.14,-10.078
"Adam, Tim R.",148.07,-14.642
"Adams, Renée Birgit",62.015,-61.564
"Adams, Robert M.",-77.558,-264.73
"Admati, Anat R.",-97.857,56.902
"Affleck-Graves, John F.",123.24,-104.65
"Agarwal, Vikas",-10.662,81.495
"Agbetsiafa, Douglas K.",-294.69,164.01
"Agell, Jonas",-403.36,-165.51
"Aggarwal, Rajesh K.",94.846,24.499
"Aggarwal, Reena",79.22,-42.349
"Aghion, Philippe",50.507,-193.03
"Aglietta, Michel",-182.24,-160.73
"Agrawal, Anup",199.51,-9.1634
"Agrawal, Deepak",-76.183,179.68
"Aguerrevere, Felipe L.",-83.702,71.384
"Aguiar, Mark",-186.85,2.3978
"Agénor, Pierre Richard",-4.4053,-411.04
