node,x,y
A SPERO,-250.3,-90.716
ABBOTT KELLER,-186.52,-83.491
ADAM APTER,-243.33,37.987
ADAM DUNSBY,49.807,14.277
AJ SENCHACK,110.92,-232.9
AL FANSOME,111.67,-58.269
AL HERLANDS,225.1,145.31
ALAN FRAGEN,-147.98,-99.405
ALAN KIMCHE,450.03,439.63
ALEJANDRO BERUETE,93.046,-153.96
"ALESSI, LOUIS DE",-280.2,57.329
ALEX HUMER,19.263,318.44
ALEXANDRE AGANINE,150.4,-15.009
ALFRED BUHLER,51.034,-367.57
ALLEN HUFFMAN,-68.696,-245.02
AMY CHAN,-187.34,70.561
ANAND GUPTA,70.109,-175.39
ANASTASIOS ANASTASOPOULOS,-340.74,-102.59
ANDREAS RAMSAUER,204.43,-244.5
ANTHONY MARCIANO,31.724,187.77
ANTOINE KOTZE,-211.93,39.126
ARNOLD JUSTER,78.361,-27.401
ARTHUR MEZHLUMIAN,-141.25,140.73
"Aadland, David M.",160.08,-110.7
"Aarstol, Michael P.",168.11,323.36
"Abarbanell, Jeffery S.",-214.13,76.488
"Aboody, David",-116.33,25.781
"Abowd, John M.",-289.21,-113.88
"Abreu, Dilip",-181.44,155.3
"Abrevaya, Jason",140.1,-85.886
"Acharya, Viral V.",-148.41,-51.739
"Ackermann, Carl",-57.138,-111.55
"Adams, Mike B.",661.63,-614.33
"Adler, Michael",421.35,288.63
"Admati, Anat R.",-42.614,1.2661
"Advani, Asheesh",59.105,-183.17
"Affleck-Graves, John F.",-52.174,-187.35
"Agell, Jonas",-166.76,317.7
"Aggarwal, Rajesh K.",-2.0677,24.166
"Aggarwal, Reena",-10.851,-106.94
"Aghion, Philippe",-16.426,84.259
"Agrawal, Anup",-48.094,-52.911
"Agénor, Pierre Richard",-185.15,228.04
"Aharony, Joseph",-54.86,-217.73
"Ahmed, Anwer S.",151.57,39.845
"Ahmed, Shaghil",-6.6972,195.98
"Ahn, Dong Hyun",-67.422,-0.2023
"Aiyagari, S. Rao",347.68,137.6
"Akerlof, George A.",122.27,298.89
"Akhigbe, Aigbe O.",-625.04,853.97
"Al-Jazzaf, Mahdy I.",64.7,-179.39
"Al-Suhaibani, Mohammad I.",-428.27,-97.222
"Alexander, Gordon J.",-134.95,-58.75
"Alford, Andrew W.",22.285,-195.74
"Algert, Peter",-40.256,-273.93
"Aliber, Robert Z.",281.44,33.623
"Alizadeh, Sassan",-403.97,29.395
"Allayannis, George",-99.86,138.57
"Allaz, Blaise",-233.3,25.409
"Allen, Franklin",-45.516,-14.773
"Allen, Jeffrey W.",16.03,-98.599
"Allen, Linda",14.508,-325.47
"Alm, James R.",545.77,-358.5
"Almeida, Alvaro Santos",-354.67,49.368
"Altinkiliç, Oya",22.844,-148.0
"Altman, Edward I.",-31.151,21.683
"Altonji, Joseph G.",-217.24,-173.9
