node,positions
A BASAK,"(901.15, 1242.8)"
A CRAIG MACKINLAY,"(1029.4, 1163.7)"
A FRANCOIS-HEUDE,"(977.33, 1340.9)"
A HECQ,"(1055.4, 1360.7)"
A JORGE PADILLA,"(804.33, 1021.1)"
A LANS BOVENBERG,"(904.36, 726.13)"
A SINAN CEBENOYAN,"(927.48, 879.36)"
AARON D SMALLWOOD,"(1415.8, 968.05)"
AARON TORNELL,"(1131.0, 1215.4)"
AART KRAAY,"(972.57, 797.35)"
ABAYOMI ALAWODE,"(1041.4, 840.72)"
ABBIE J SMITH,"(1008.3, 956.16)"
ABDULLAH YAVAS,"(856.76, 1315.8)"
ABE DE JONG,"(1006.7, 896.75)"
ABEL CADENILLAS,"(879.11, 985.32)"
ABHIJIT BANERJEE,"(966.79, 928.58)"
ABON MOZUMDAR,"(1050.7, 1051.6)"
ABRAHAM LIOUI,"(906.79, 1245.2)"
AC PRITCHARD,"(749.42, 1053.9)"
ACHIM MACHAUER,"(1187.8, 874.68)"
ADALBERT MAYER,"(1251.3, 617.85)"
ADAM B ASHCRAFT,"(966.26, 886.07)"
ADAM B STEEN,"(956.46, 1471.7)"
ADAM GILESKI,"(1257.4, 1125.1)"
ADAM NUNES,"(851.09, 1163.2)"
ADAM S KOCH,"(941.98, 891.78)"
ADAM V REED,"(1043.4, 1144.0)"
ADAM YC LEI,"(814.08, 1250.1)"
ADITYA KAUL,"(848.82, 1137.3)"
ADLAI J FISHER,"(1065.5, 1067.9)"
ADOLFO BARAJAS,"(1005.6, 774.87)"
ADOLFO DE MOTTA,"(895.09, 1010.2)"
ADRIAN BUCKLEY,"(1205.9, 1061.5)"
ADRIAN M COWAN,"(1148.8, 879.17)"
ADRIAN MASTERS,"(2046.4, 490.64)"
ADRIAN PAGAN,"(1122.7, 861.91)"
ADRIANO A RAMPINI,"(790.4, 973.94)"
ADY PAUZNER,"(845.28, 1002.9)"
AFEIKHENA JEROME,"(1072.4, 875.47)"
AGNAR SANDMO,"(746.92, 863.37)"
AGNES BENASSY-QUERE,"(1070.2, 1357.4)"
AGOSTINO FUSCONI,"(1057.5, 648.14)"
AGUSTIN CARSTENS,"(1039.2, 631.06)"
AIGBE AKHIGBE,"(1009.9, 807.76)"
AJAI K SINGH,"(884.52, 1054.3)"
AJAY KHORANA,"(1015.3, 1008.8)"
AJAY PATEL,"(1075.3, 979.33)"
AJAY SUBRAMANIAN,"(1158.8, 1059.4)"
AKHTAR R SIDDIQUE,"(1021.6, 1119.1)"
AKIHIRO KANAYA,"(941.16, 723.27)"
AKIKO WATANABE,"(1247.8, 1136.3)"
AKIRA ARIYOSHI,"(970.8, 720.36)"
AKIRA IEDA,"(1120.3, 800.19)"
ALAIN BUTERY,"(565.95, 392.0)"
ALAIN COEN,"(1048.6, 750.46)"
ALAIN IZE,"(875.15, 880.61)"
ALAN AUERBACH,"(917.48, 1169.0)"
ALAN BILOSKI,"(976.93, 1230.0)"
ALAN C HESS,"(994.56, 993.78)"
ALAN C STOCKMAN,"(1129.0, 805.28)"
ALAN D MORRISON,"(1077.8, 919.88)"
ALAN GELB,"(1022.8, 834.41)"
ALAN GENZ,"(1418.0, 1010.2)"
ALAN ISAAC,"(1348.9, 1045.0)"
ALAN JAGOLINZER,"(713.38, 1004.0)"
ALAN KRAUS,"(959.26, 1161.4)"
ALAN L TUCKER,"(717.56, 1044.8)"
ALAN LEWIS,"(1191.2, 1279.6)"
ALAN OLMSTEAD,"(1061.7, 687.07)"
ALAN S BLINDER,"(893.64, 818.48)"
ALAN SCHLOTTMAN,"(645.83, 659.79)"
ALAN SHAPIRO,"(1119.4, 1171.3)"
ALAN TAYLOR,"(987.26, 676.96)"
ALAN WHITE,"(1169.6, 1091.9)"
ALASTAIR MARSDEN,"(748.03, 807.17)"
ALBERT (YAN) WANG,"(1026.9, 1326.2)"
ALBERT J MENKVELD,"(795.41, 1115.5)"
ALBERT MENTINK,"(611.86, 953.62)"
ALBERT MINGUET,"(1111.5, 1204.5)"
ALBERT S KYLE,"(972.13, 1057.0)"
ALBERT SHIRYAEV,"(1223.2, 1146.2)"
ALBERTO ABADIE,"(738.5, 1034.2)"
ALBERTO ALESINA,"(1115.6, 903.67)"
ALBERTO BENNARDO,"(826.63, 895.46)"
ALBERTO BISIN,"(1116.1, 951.83)"
ALBERTO FRANCO POZZOLO,"(965.23, 869.98)"
ALBERTO MOEL,"(1055.2, 993.19)"
ALBERTO PETRUCCI,"(1370.9, 957.0)"
ALBERTO RAMOS,"(961.14, 720.99)"
ALDO MUSACCHIO,"(1180.2, 827.97)"
ALDO RUSTICHINI,"(1230.0, 860.84)"
ALEJANDRO MICCO,"(1215.6, 947.56)"
ALES CERNY,"(801.49, 1270.4)"
ALESSANDRA MORI,"(804.48, 711.22)"
ALESSANDRO BEBER,"(1066.1, 1203.7)"
ALESSANDRO CITANNA,"(1125.3, 1248.0)"
ALESSANDRO PENATI,"(858.08, 1146.6)"
ALESSANDRO PRATI,"(865.62, 855.92)"
ALESSANDRO SBUELZ,"(1034.9, 854.53)"
ALEX BOULATOV,"(936.7, 1177.8)"
ALEX CUKIERMAN,"(891.38, 755.03)"
ALEX FRINO,"(737.92, 1041.9)"
ALEX P TAYLOR,"(1117.0, 730.54)"
ALEX URBINA,"(817.3, 852.61)"
ALEXANDER CAPPELLO,"(903.03, 1261.8)"
ALEXANDER DAVID,"(1151.6, 1142.1)"
ALEXANDER DYCK,"(921.62, 980.1)"
ALEXANDER GUEMBEL,"(806.11, 999.51)"
ALEXANDER I SHAPIRO,"(1110.6, 1009.9)"
ALEXANDER KEMPF,"(1068.9, 1244.5)"
ALEXANDER L WOLMAN,"(995.71, 764.59)"
ALEXANDER MICHAELIDES,"(1058.1, 1038.5)"
ALEXANDER MONGE,"(1105.0, 1372.4)"
ALEXANDER P LJUNGQVIST,"(975.73, 1043.0)"
ALEXANDER PIVOVARSKY,"(877.0, 913.23)"
ALEXANDER REISZ,"(823.64, 1100.9)"
ALEXANDER STOMPER,"(1158.1, 953.96)"
ALEXANDER TRIANTIS,"(1169.3, 1125.6)"
ALEXANDER TSAI,"(867.04, 1138.1)"
ALEXANDER W BUTLER,"(924.18, 1070.7)"
ALEXANDRE AGANINE,"(793.42, 1168.9)"
ALEXANDRE M BAPTISTA,"(939.23, 1260.1)"
ALEXANDRE ZIEGLER,"(696.55, 982.21)"
ALEXANDROS PREZAS,"(796.88, 1059.9)"
ALEXEI EGOROV,"(844.58, 1174.2)"
ALEXEI GORIAEV,"(820.1, 1073.4)"
ALEXEI JILTSOV,"(1093.8, 1090.1)"
ALEXEI V OVTCHINNIKOV,"(1030.6, 1250.6)"
ALEXEI ZHDANOV,"(819.77, 984.44)"
ALEZANDRO WERNER,"(1083.1, 640.78)"
ALFONSO NOVALES,"(2052.9, 216.0)"
ALFRED LEHAR,"(1001.8, 945.78)"
ALFRED PLOTKIN,"(750.43, 1018.4)"
ALFRED YAWSON,"(690.57, 962.1)"
ALI ANARI,"(858.22, 917.36)"
ALI BORA YIGITBASIOGLU,"(1284.9, 1265.3)"
ALI F DARRAT,"(1018.2, 1352.9)"
ALI LAZRAK,"(1134.9, 961.92)"
ALI M KUTAN,"(1433.8, 861.16)"
ALICE ISEN,"(875.38, 1169.4)"
ALINA CARARE,"(710.29, 804.55)"
ALISA A ROELL,"(941.33, 1032.9)"
ALLAN A ZEBEDEE,"(897.02, 1182.2)"
ALLAN BROWN,"(1071.1, 671.83)"
ALLAN C EBERHART,"(1000.6, 1100.8)"
ALLAN D BRUNNER,"(1291.2, 867.55)"
ALLAN KLEIDON,"(1266.8, 1034.6)"
ALLAN MELTZER,"(914.87, 799.56)"
ALLAN TIMMERMANN,"(1139.3, 1114.3)"
ALLAUDEEN S HAMEED,"(967.36, 1109.8)"
ALLEN FERRELL,"(1192.5, 1080.2)"
ALLEN M POTESHMAN,"(986.56, 1121.8)"
ALLEN N BERGER,"(987.52, 928.51)"
ALLISON HOLLAND,"(1057.2, 1195.9)"
ALMA COHEN,"(1040.9, 1135.4)"
ALOIS GEYER,"(828.99, 960.29)"
ALOK KUMAR,"(912.5, 1187.8)"
ALOKE GHOSH,"(1061.7, 890.72)"
ALON BRAV,"(973.31, 1073.5)"
ALVARO ESCRIBANO,"(1222.4, 1906.4)"
AM TARANTOLA,"(794.37, 684.06)"
AMADOU NR SY,"(657.31, 945.39)"
AMAR BHIDE,"(1036.3, 924.93)"
AMAR GANDE,"(1144.7, 987.87)"
AMAR MOITON,"(1632.3, 1416.2)"
AMIR BARNEA,"(1121.2, 941.66)"
AMIR KIRSH,"(1023.1, 975.61)"
AMIR N LICHT,"(911.43, 959.06)"
AMIR YARON,"(1069.6, 995.87)"
AMIR ZIV,"(884.24, 1262.9)"
AMIT ARORA,"(1207.6, 1008.2)"
AMIT GOYAL,"(1082.5, 1095.8)"
AMIT KARA,"(945.21, 698.57)"
AMIYATOSH K PURNANANDAM,"(997.99, 1089.2)"
AMNON LEVY,"(994.91, 1021.7)"
AMPARO URBANO,"(830.73, 650.5)"
AMY CHAN,"(1160.5, 1142.4)"
AMY K DITTMAR,"(965.44, 1007.8)"
AMY K EDWARDS,"(869.0, 1103.2)"
AMY X SUN,"(932.63, 894.6)"
AN YAN,"(1015.9, 1035.5)"
AN-SING CHEN,"(685.64, 1613.0)"
ANA AIZCORBE,"(1005.2, 844.26)"
ANA CANHOTO,"(779.05, 898.4)"
ANA ISABEL FERNANDEZ,"(1173.6, 1624.5)"
